"geoRegion","datum","entries","sumTotal","timeframe_7d","offset_last7d","sumTotal_last7d","timeframe_14d","offset_last14d","sumTotal_last14d","timeframe_28d","offset_last28d","sumTotal_last28d","timeframe_phase2","offset_Phase2","sumTotal_Phase2","timeframe_phase2b","offset_Phase2b","sumTotal_Phase2b","sum7d","sum14d","mean7d","mean14d","timeframe_all","entries_diff_last_age","pop","inz_entries","inzmean7d","inzmean14d","inzsumTotal","inzsumTotal_last7d","inzsumTotal_last14d","inzsumTotal_last28d","inzsumTotal_Phase2","inzsumTotal_Phase2b","inzsum7d","inzsum14d","sumdelta7d","inzdelta7d","type","type_variant","version","datum_unit","entries_letzter_stand","entries_neu_gemeldet","entries_diff_last"
"CH",2020-02-24,5,5,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,NA,NA,NA,NA,TRUE,3,8606033,0.06,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Hosp","","2021-01-11_07-48-59","day",5,0,249
"CH",2020-02-25,4,9,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,NA,NA,NA,NA,TRUE,3,8606033,0.05,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Hosp","","2021-01-11_07-48-59","day",4,0,249
"CH",2020-02-26,9,18,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,NA,NA,NA,NA,TRUE,3,8606033,0.1,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Hosp","","2021-01-11_07-48-59","day",9,0,249
"CH",2020-02-27,5,23,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,NA,NA,7.43,NA,TRUE,3,8606033,0.06,0.09,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Hosp","","2021-01-11_07-48-59","day",5,0,249
"CH",2020-02-28,5,28,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,NA,NA,8.57,NA,TRUE,3,8606033,0.06,0.1,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Hosp","","2021-01-11_07-48-59","day",5,0,249
"CH",2020-02-29,14,42,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,NA,NA,10.43,NA,TRUE,3,8606033,0.16,0.12,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Hosp","","2021-01-11_07-48-59","day",14,0,249
"CH",2020-03-01,10,52,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,52,NA,11,11.5,TRUE,3,8606033,0.12,0.13,0.13,0.6,NA,NA,NA,NA,NA,0.6,NA,NA,NA,"COVID19Hosp","","2021-01-11_07-48-59","day",10,0,249
"CH",2020-03-02,13,65,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,60,NA,12.71,13.21,TRUE,3,8606033,0.15,0.15,0.15,0.76,NA,NA,NA,NA,NA,0.7,NA,8,0.1,"COVID19Hosp","","2021-01-11_07-48-59","day",13,0,249
"CH",2020-03-03,17,82,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,73,NA,15.43,15.93,TRUE,3,8606033,0.2,0.18,0.19,0.95,NA,NA,NA,NA,NA,0.85,NA,13,0.15,"COVID19Hosp","","2021-01-11_07-48-59","day",17,0,249
"CH",2020-03-04,13,95,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,77,NA,14.57,18.79,TRUE,3,8606033,0.15,0.17,0.22,1.1,NA,NA,NA,NA,NA,0.89,NA,4,0.04,"COVID19Hosp","","2021-01-11_07-48-59","day",13,0,249
"CH",2020-03-05,17,112,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,89,NA,15.57,22.14,TRUE,3,8606033,0.2,0.18,0.26,1.3,NA,NA,NA,NA,NA,1.03,NA,12,0.14,"COVID19Hosp","","2021-01-11_07-48-59","day",17,0,249
"CH",2020-03-06,24,136,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,108,NA,17.86,25.71,TRUE,3,8606033,0.28,0.21,0.3,1.58,NA,NA,NA,NA,NA,1.25,NA,19,0.22,"COVID19Hosp","","2021-01-11_07-48-59","day",24,0,249
"CH",2020-03-07,8,144,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,102,NA,21.43,29.36,TRUE,3,8606033,0.09,0.25,0.34,1.67,NA,NA,NA,NA,NA,1.19,NA,-6,-0.0600000000000001,"COVID19Hosp","","2021-01-11_07-48-59","day",8,0,249
"CH",2020-03-08,17,161,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,109,161,26.57,32.57,TRUE,3,8606033,0.2,0.31,0.38,1.87,NA,NA,NA,NA,NA,1.27,1.87,7,0.0800000000000001,"COVID19Hosp","","2021-01-11_07-48-59","day",17,0,249
"CH",2020-03-09,29,190,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,125,185,31.57,40.21,TRUE,3,8606033,0.34,0.37,0.47,2.21,NA,NA,NA,NA,NA,1.45,2.15,16,0.18,"COVID19Hosp","","2021-01-11_07-48-59","day",29,0,249
"CH",2020-03-10,42,232,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,150,223,36,46,TRUE,3,8606033,0.49,0.42,0.53,2.7,NA,NA,NA,NA,NA,1.74,2.59,25,0.29,"COVID19Hosp","","2021-01-11_07-48-59","day",42,0,249
"CH",2020-03-11,49,281,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,186,263,44.14,53.07,TRUE,3,8606033,0.57,0.51,0.62,3.27,NA,NA,NA,NA,NA,2.16,3.06,36,0.42,"COVID19Hosp","","2021-01-11_07-48-59","day",49,0,249
"CH",2020-03-12,52,333,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,221,310,49.57,59.71,TRUE,3,8606033,0.6,0.58,0.69,3.87,NA,NA,NA,NA,NA,2.57,3.6,35,0.41,"COVID19Hosp","","2021-01-11_07-48-59","day",52,0,249
"CH",2020-03-13,55,388,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,252,360,62.57,68.21,TRUE,3,8606033,0.64,0.73,0.79,4.51,NA,NA,NA,NA,NA,2.93,4.18,31,0.36,"COVID19Hosp","","2021-01-11_07-48-59","day",55,0,249
"CH",2020-03-14,65,453,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,309,411,70.57,76.07,TRUE,3,8606033,0.76,0.82,0.88,5.26,NA,NA,NA,NA,NA,3.59,4.78,57,0.66,"COVID19Hosp","","2021-01-11_07-48-59","day",65,0,249
"CH",2020-03-15,55,508,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,347,456,79.57,84.5,TRUE,3,8606033,0.64,0.92,0.98,5.9,NA,NA,NA,NA,NA,4.03,5.3,38,0.44,"COVID19Hosp","","2021-01-11_07-48-59","day",55,0,249
"CH",2020-03-16,120,628,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,438,563,87.86,94,TRUE,3,8606033,1.39,1.02,1.09,7.3,NA,NA,NA,NA,NA,5.09,6.54,91,1.06,"COVID19Hosp","","2021-01-11_07-48-59","day",120,0,249
"CH",2020-03-17,98,726,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,494,644,100.43,103.93,TRUE,3,8606033,1.14,1.17,1.21,8.44,NA,NA,NA,NA,NA,5.74,7.48,56,0.65,"COVID19Hosp","","2021-01-11_07-48-59","day",98,0,249
"CH",2020-03-18,112,838,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,557,743,108,114.71,TRUE,3,8606033,1.3,1.25,1.33,9.74,NA,NA,NA,NA,NA,6.47,8.63,63,0.73,"COVID19Hosp","","2021-01-11_07-48-59","day",112,0,249
"CH",2020-03-19,110,948,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,615,836,119.43,122.79,TRUE,3,8606033,1.28,1.39,1.43,11.02,NA,NA,NA,NA,NA,7.15,9.71,58,0.680000000000001,"COVID19Hosp","","2021-01-11_07-48-59","day",110,0,249
"CH",2020-03-20,143,1091,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,703,955,125.43,133.79,TRUE,3,8606033,1.66,1.46,1.55,12.68,NA,NA,NA,NA,NA,8.17,11.1,88,1.02,"COVID19Hosp","","2021-01-11_07-48-59","day",143,0,249
"CH",2020-03-21,118,1209,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,756,1065,137.29,137.86,TRUE,3,8606033,1.37,1.6,1.6,14.05,NA,NA,NA,NA,NA,8.78,12.38,53,0.609999999999999,"COVID19Hosp","","2021-01-11_07-48-59","day",118,0,249
"CH",2020-03-22,135,1344,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,836,1183,149.86,142.64,TRUE,3,8606033,1.57,1.74,1.66,15.62,NA,NA,NA,NA,NA,9.71,13.75,80,0.930000000000001,"COVID19Hosp","","2021-01-11_07-48-59","day",135,0,249
"CH",2020-03-23,162,1506,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,878,1316,157.71,145.79,TRUE,3,8606033,1.88,1.83,1.69,17.5,NA,NA,NA,NA,NA,10.2,15.29,42,0.489999999999998,"COVID19Hosp","","2021-01-11_07-48-59","day",162,0,249
"CH",2020-03-24,181,1687,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,961,1455,167.14,147.71,TRUE,3,8606033,2.1,1.94,1.72,19.6,NA,NA,NA,NA,NA,11.17,16.91,83,0.970000000000001,"COVID19Hosp","","2021-01-11_07-48-59","day",181,0,249
"CH",2020-03-25,200,1887,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,1049,1606,167.71,146.64,TRUE,3,8606033,2.32,1.95,1.7,21.93,NA,NA,NA,NA,NA,12.19,18.66,88,1.02,"COVID19Hosp","","2021-01-11_07-48-59","day",200,0,249
"CH",2020-03-26,165,2052,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,1104,1719,165.86,145.5,TRUE,3,8606033,1.92,1.93,1.69,23.84,NA,NA,NA,NA,NA,12.83,19.97,55,0.640000000000001,"COVID19Hosp","","2021-01-11_07-48-59","day",165,0,249
"CH",2020-03-27,209,2261,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,1170,1873,166.14,140.64,TRUE,3,8606033,2.43,1.93,1.63,26.27,NA,NA,NA,NA,NA,13.6,21.76,66,0.77,"COVID19Hosp","","2021-01-11_07-48-59","day",209,0,249
"CH",2020-03-28,122,2383,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,1174,1930,158.14,136.36,TRUE,3,8606033,1.42,1.84,1.58,27.69,NA,NA,NA,NA,NA,13.64,22.43,4,0.0400000000000009,"COVID19Hosp","","2021-01-11_07-48-59","day",122,0,249
"CH",2020-03-29,122,2505,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,1161,1997,143.43,130.29,TRUE,3,8606033,1.42,1.67,1.51,29.11,NA,NA,NA,NA,NA,13.49,23.2,-13,-0.15,"COVID19Hosp","","2021-01-11_07-48-59","day",122,0,249
"CH",2020-03-30,164,2669,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,1163,2041,133.29,123.79,TRUE,3,8606033,1.91,1.55,1.44,31.01,NA,NA,NA,NA,NA,13.51,23.72,2,0.0199999999999996,"COVID19Hosp","","2021-01-11_07-48-59","day",164,0,249
"CH",2020-03-31,125,2794,FALSE,19412,0,FALSE,18455,0,FALSE,16393,0,FALSE,4013,0,FALSE,4879,0,1107,2068,114.14,114.93,TRUE,3,8606033,1.45,1.33,1.34,32.47,NA,NA,NA,NA,NA,12.86,24.03,-56,-0.65,"COVID19Hosp","","2021-01-11_07-48-59","day",125,0,249
