"type_variant","type","entries","geoRegion","datum","date_unit","version"
"","COVID19CT_Iso",26169,"CHFL",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",33530,"CHFL",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",5883,"CHFL",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_reporting_cantons",22,"CHFL",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",25992,"CH",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",33241,"CH",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",5873,"CH",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_reporting_cantons",22,"CH",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",2139,"AG",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",50,"AI",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",233,"AR",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",3135,"BE",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",610,"BL",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",530,"BS",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",177,"FL",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",1150,"GE",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",165,"GL",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",462,"GR",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",1963,"LU",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",482,"NE",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",106,"OW",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",191,"SH",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",1048,"SO",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",831,"SZ",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",678,"TG",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",1521,"TI",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",111,"UR",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",3509,"VD",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",1126,"VS",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Iso",358,"ZG",2021-01-11,"day","2021-01-11_07-48-59"
