"geoRegion","date","median_R_mean","median_R_highHPD","median_R_lowHPD","timeframe_14d","timeframe_28d","timeframe_phase2","timeframe_phase2b","timeframe_all","type","version"
"AG",2020-02-07,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-08,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-09,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-10,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-11,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-12,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-13,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-14,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-15,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-16,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-17,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-18,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-19,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-20,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-21,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-22,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-23,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-24,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-25,1.27,2.62,0.4,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-26,1.56,3,0.58,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-27,1.58,2.93,0.67,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-28,1.8,3.23,0.77,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-02-29,2,3.42,0.94,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-03-01,2.27,3.68,1.18,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-03-02,2.48,3.85,1.42,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-03-03,2.62,3.89,1.61,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-03-04,2.7,3.85,1.76,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-03-05,2.79,3.82,1.91,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-03-06,2.73,3.65,1.94,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-03-07,2.58,3.38,1.92,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-03-08,2.39,3.05,1.81,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-03-09,2.18,2.74,1.67,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-03-10,1.97,2.46,1.54,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-03-11,1.82,2.24,1.45,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-03-12,1.7,2.09,1.36,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-03-13,1.61,1.96,1.3,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-03-14,1.54,1.86,1.25,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-03-15,1.46,1.75,1.2,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-03-16,1.39,1.66,1.14,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-03-17,1.32,1.57,1.08,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
"AG",2020-03-18,1.25,1.49,1.03,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID19Re","2021-01-11_07-48-59"
